id,algo,strategy,run_id,start_mode,best_fitness,final_cash,test_final_cash,epoch_count,runtime_ms,early_stopped,best_params,hyperparams
1556,aos,lma,26,random,-800.109005668366,800.109005668366,487.740312063578,51,5747.92509299914,False,"{""short_window"": 35.255653185967205, ""long_window"": 55.614600322328556}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1557,aos,lma,28,random,-800.109005668366,800.109005668366,487.740312063578,51,5766.19206199939,False,"{""short_window"": 35.45442805203088, ""long_window"": 55.62216561307682}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1558,aos,lma,27,random,-818.928633013523,818.928633013523,907.977723746608,51,5793.66818500057,False,"{""short_window"": 20.671399975503437, ""long_window"": 195.07482060660013}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1559,aos,lma,29,random,-794.988223072468,794.988223072468,846.344567989416,50,5673.53356000058,True,"{""short_window"": 19.73539567262184, ""long_window"": 195.77809179575993}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1560,aos,ema_shared,0,random,-41634.0118765432,41634.0118765432,1000,51,6005.99046800016,False,"{""short_window"": 40.03885402373171, ""long_window"": 171.31587213684108, ""alpha"": 0.9413961429278577}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1561,aos,ema_shared,1,random,-68531.5591297415,68531.5591297415,5465.93415171481,51,5968.96464599922,False,"{""short_window"": 37.85428616269941, ""long_window"": 52.286516685736245, ""alpha"": 0.6128577785769496}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1562,aos,ema_shared,2,random,-50098.7507317516,50098.7507317516,1037.02445531978,51,5899.44801400088,False,"{""short_window"": 44.311436421661256, ""long_window"": 51.0, ""alpha"": 0.8397700329360115}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1563,aos,ema_shared,3,random,-71691.8201046664,71691.8201046664,1037.47344623017,51,5940.78073899982,False,"{""short_window"": 43.863395458436855, ""long_window"": 106.74274218931983, ""alpha"": 0.8314107019885426}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1564,aos,ema_shared,4,random,-43759.8635110422,43759.8635110422,1504.08136975387,51,5853.033667001,True,"{""short_window"": 50.0, ""long_window"": 69.3384435739154, ""alpha"": 0.5233581003794979}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1565,aos,ema_shared,5,random,-60365.6569332763,60365.6569332763,1000,51,5951.2316119999,False,"{""short_window"": 50.0, ""long_window"": 184.6616273846534, ""alpha"": 0.821343319925029}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1566,aos,ema_shared,6,random,-51701.7490465786,51701.7490465786,1000,51,5974.37031399932,False,"{""short_window"": 33.84621942845485, ""long_window"": 136.7236057296011, ""alpha"": 0.8092794602074889}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1567,aos,ema_shared,7,random,-47382.333899582,47382.333899582,4012.71733643104,51,5995.7354979997,False,"{""short_window"": 50.0, ""long_window"": 188.5583142479389, ""alpha"": 0.48454454526152513}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1568,aos,ema_shared,8,random,-43646.9007506687,43646.9007506687,3101.7785948044,51,5905.75501800049,False,"{""short_window"": 50.0, ""long_window"": 130.547225556953, ""alpha"": 0.9998985545230246}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1569,aos,ema_shared,9,random,-32799.0755588547,32799.0755588547,3988.09000156909,51,5952.62495799943,False,"{""short_window"": 35.2092020198487, ""long_window"": 200.0, ""alpha"": 0.8303948337836019}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1570,aos,ema_shared,10,random,-46988.6365721857,46988.6365721857,1913.41259302924,51,5960.64497600128,False,"{""short_window"": 17.223548487259592, ""long_window"": 143.12328089261214, ""alpha"": 0.9987266691283248}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1571,aos,ema_shared,11,random,-34442.798674087,34442.798674087,6144.02491632127,51,5965.25118499994,False,"{""short_window"": 50.0, ""long_window"": 200.0, ""alpha"": 0.5048854802718056}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1572,aos,ema_shared,12,random,-58121.5018716942,58121.5018716942,2893.82042980775,51,5900.53366400025,False,"{""short_window"": 49.27678714722756, ""long_window"": 95.93813974905655, ""alpha"": 0.5800284449795936}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1573,aos,ema_shared,13,random,-132228.769992555,132228.769992555,4604.09067991923,51,5898.89766099986,False,"{""short_window"": 39.71858498614494, ""long_window"": 74.53627385528415, ""alpha"": 0.9238485381150935}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1574,aos,ema_shared,14,random,-60487.6516489166,60487.6516489166,1000,51,5989.5104649986,False,"{""short_window"": 38.35190879046538, ""long_window"": 172.81151590641656, ""alpha"": 0.8076283503143403}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1575,aos,ema_shared,15,random,-48306.873432722,48306.873432722,1154.87394072922,51,6002.26117199964,False,"{""short_window"": 50.0, ""long_window"": 191.91010985772087, ""alpha"": 0.9998682466246064}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1576,aos,ema_shared,16,random,-72895.6494959857,72895.6494959857,673.02901401522,51,5858.69184399962,False,"{""short_window"": 50.0, ""long_window"": 68.10280961369598, ""alpha"": 0.5194979709926739}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
1577,aos,ema_shared,17,random,-34298.5659613937,34298.5659613937,1253.59319176344,51,5913.44028999993,False,"{""short_window"": 50.0, ""long_window"": 175.71136752947325, ""alpha"": 0.6583160300555966}","{""pop_size"": 100, ""max_iter"": 50, ""n_shells"": 5}"
